Churn,senior_65,partner,dependents,tenure_months,contract_type,monthly_charge,daily_charge,total_charge,internet_service,online_security,tech_support,streaming_tv,payment_method
0,0,1,1,9,One year,65.6,2.19,593.3,DSL,0,1,1,Mailed check
0,0,0,0,9,Month-to-month,59.9,2.0,542.4,DSL,0,0,0,Mailed check
1,0,0,0,4,Month-to-month,73.9,2.46,280.85,Fiber optic,0,0,0,Electronic check
1,1,1,0,13,Month-to-month,98.0,3.27,1237.85,Fiber optic,0,0,1,Electronic check
1,1,1,0,3,Month-to-month,83.9,2.8,267.4,Fiber optic,0,1,1,Mailed check
0,0,0,1,9,Month-to-month,69.4,2.31,571.45,DSL,0,1,1,Credit card (automatic)
0,1,1,0,71,Two year,109.7,3.66,7904.25,Fiber optic,1,1,1,Bank transfer (automatic)
0,0,1,0,63,Two year,84.65,2.82,5377.8,Fiber optic,1,1,0,Credit card (automatic)
0,1,0,0,7,Month-to-month,48.2,1.61,340.35,DSL,1,0,0,Electronic check
0,0,1,1,65,Two year,90.45,3.02,5957.9,DSL,1,1,1,Mailed check
0,0,0,0,54,Two year,45.2,1.51,2460.55,DSL,1,1,1,Credit card (automatic)
0,0,1,1,72,Two year,116.8,3.89,8456.75,Fiber optic,1,1,1,Credit card (automatic)
0,0,1,0,5,Month-to-month,68.95,2.3,351.5,Fiber optic,0,0,0,Electronic check
0,0,0,0,72,Two year,101.3,3.38,7261.25,Fiber optic,1,0,1,Bank transfer (automatic)
0,0,0,0,56,Two year,45.05,1.5,2560.1,DSL,1,1,0,Bank transfer (automatic)
0,0,1,1,71,Two year,95.75,3.19,6849.4,Fiber optic,0,0,0,Credit card (automatic)
0,0,1,1,34,One year,61.25,2.04,1993.2,DSL,1,1,1,Mailed check
0,1,0,0,1,Month-to-month,72.1,2.4,72.1,Fiber optic,0,0,0,Electronic check
1,1,0,0,45,One year,62.7,2.09,2791.5,DSL,1,0,0,Credit card (automatic)
1,1,0,0,1,Month-to-month,25.1,0.84,25.1,DSL,0,0,0,Electronic check
0,1,1,0,50,One year,25.2,0.84,1306.3,No,0,0,0,Electronic check
1,0,1,0,13,Month-to-month,94.1,3.14,1215.6,Fiber optic,0,0,1,Electronic check
0,0,1,1,23,Month-to-month,83.75,2.79,1849.95,Fiber optic,0,0,1,Electronic check
0,0,0,0,3,Month-to-month,19.85,0.66,57.2,No,0,0,0,Mailed check
1,0,1,1,4,Month-to-month,20.35,0.68,76.35,No,0,0,0,Mailed check
1,0,1,1,1,Month-to-month,30.5,1.02,30.5,DSL,1,0,0,Bank transfer (automatic)
0,0,1,1,55,One year,103.7,3.46,5656.75,Fiber optic,0,1,1,Bank transfer (automatic)
0,0,1,1,54,Two year,20.4,0.68,1090.6,No,0,0,0,Credit card (automatic)
0,0,0,0,26,One year,19.6,0.65,471.85,No,0,0,0,Bank transfer (automatic)
0,0,1,1,69,Two year,19.7,0.66,1396.9,No,0,0,0,Bank transfer (automatic)
0,0,0,0,11,Month-to-month,79.0,2.63,929.3,Fiber optic,1,0,0,Bank transfer (automatic)
0,0,1,1,37,One year,91.2,3.04,3247.55,Fiber optic,0,0,1,Credit card (automatic)
0,0,1,0,49,One year,20.45,0.68,900.9,No,0,0,0,Bank transfer (automatic)
0,0,1,0,66,One year,115.8,3.86,7942.15,Fiber optic,1,1,1,Bank transfer (automatic)
0,0,0,0,67,One year,20.55,0.68,1343.4,No,0,0,0,Electronic check
0,0,1,1,20,Two year,39.4,1.31,825.4,DSL,1,1,0,Credit card (automatic)
0,0,0,1,43,Two year,25.1,0.84,1070.15,No,0,0,0,Electronic check
0,0,1,0,55,Month-to-month,89.8,2.99,4959.6,Fiber optic,1,0,1,Bank transfer (automatic)
0,0,1,0,59,Month-to-month,94.75,3.16,5597.65,Fiber optic,1,0,1,Electronic check
0,0,1,1,12,Two year,20.3,0.68,224.5,No,0,0,0,Bank transfer (automatic)
0,0,1,1,27,Month-to-month,75.75,2.52,1929.0,Fiber optic,0,0,0,Bank transfer (automatic)
1,1,0,0,2,Month-to-month,49.25,1.64,91.1,DSL,1,0,0,Electronic check
0,0,0,0,27,One year,78.2,2.61,2078.95,DSL,0,1,1,Mailed check
0,0,1,1,25,Two year,25.5,0.85,630.6,No,0,0,0,Credit card (automatic)
0,0,1,1,25,One year,61.6,2.05,1611.0,DSL,1,0,0,Bank transfer (automatic)
0,0,0,1,29,Month-to-month,45.0,1.5,1242.45,DSL,1,1,0,Mailed check
0,0,1,0,72,Two year,85.15,2.84,6316.2,DSL,0,1,1,Bank transfer (automatic)
0,0,0,0,14,One year,51.45,1.72,727.85,DSL,0,0,0,Credit card (automatic)
0,0,0,0,35,One year,99.25,3.31,3532.0,Fiber optic,0,1,1,Electronic check
0,0,0,0,1,Month-to-month,44.3,1.48,44.3,DSL,0,0,0,Mailed check
0,0,0,0,29,Month-to-month,94.2,3.14,2607.6,Fiber optic,0,1,1,Electronic check
0,0,0,0,64,One year,81.25,2.71,5567.55,DSL,1,1,1,Electronic check
0,0,1,1,39,Month-to-month,99.95,3.33,3767.4,Fiber optic,0,1,1,Credit card (automatic)
0,1,0,0,40,Month-to-month,91.55,3.05,3673.6,Fiber optic,0,0,1,Electronic check
1,0,0,0,40,Month-to-month,104.5,3.48,4036.85,Fiber optic,0,0,1,Credit card (automatic)
1,1,0,0,11,Month-to-month,95.0,3.17,1120.3,Fiber optic,0,0,1,Electronic check
0,0,1,0,6,Month-to-month,50.35,1.68,314.55,DSL,0,0,0,Electronic check
0,0,0,0,30,Month-to-month,64.5,2.15,1888.45,DSL,1,0,0,Mailed check
0,0,0,0,27,Month-to-month,19.4,0.65,529.8,No,0,0,0,Electronic check
0,1,1,0,70,One year,104.8,3.49,7308.95,Fiber optic,0,0,1,Electronic check
0,0,1,0,57,One year,109.4,3.65,6252.7,Fiber optic,0,1,1,Bank transfer (automatic)
0,0,1,0,58,One year,50.3,1.68,2878.55,DSL,0,0,0,Credit card (automatic)
0,0,0,0,16,Month-to-month,71.4,2.38,1212.1,DSL,0,0,0,Bank transfer (automatic)
0,0,1,0,69,Two year,116.0,3.87,8182.85,Fiber optic,1,1,1,Electronic check
1,0,0,0,1,Month-to-month,19.85,0.66,19.85,No,0,0,0,Electronic check
1,0,0,1,1,Month-to-month,99.75,3.32,99.75,Fiber optic,0,0,1,Electronic check
0,1,1,1,32,Month-to-month,93.95,3.13,2861.45,Fiber optic,0,0,1,Mailed check
0,0,1,1,16,Month-to-month,90.8,3.03,1442.2,Fiber optic,0,0,1,Bank transfer (automatic)
1,0,1,0,49,One year,84.35,2.81,4059.35,DSL,1,1,1,Electronic check
0,0,1,0,71,Two year,58.25,1.94,4145.9,DSL,0,1,1,Bank transfer (automatic)
0,0,0,0,33,Month-to-month,107.55,3.58,3645.5,Fiber optic,0,0,1,Electronic check
0,0,1,0,10,Month-to-month,19.95,0.66,187.75,No,0,0,0,Bank transfer (automatic)
1,0,1,0,21,Month-to-month,111.2,3.71,2317.1,Fiber optic,0,1,1,Electronic check
1,0,1,1,37,Month-to-month,40.2,1.34,1448.8,DSL,1,0,0,Bank transfer (automatic)
0,1,0,0,26,Month-to-month,85.8,2.86,2193.65,Fiber optic,1,0,1,Credit card (automatic)
0,0,0,0,71,Two year,19.9,0.66,1355.1,No,0,0,0,Credit card (automatic)
0,0,0,0,50,One year,35.4,1.18,1748.9,DSL,1,1,0,Mailed check
1,0,0,0,7,Month-to-month,73.85,2.46,511.25,Fiber optic,0,0,0,Electronic check
0,0,1,1,61,Two year,88.1,2.94,5526.75,DSL,1,1,1,Mailed check
1,0,0,0,15,Month-to-month,101.35,3.38,1553.95,Fiber optic,0,1,1,Electronic check
0,0,0,1,26,Month-to-month,45.8,1.53,1147.0,DSL,1,1,0,Mailed check
0,0,1,0,72,Month-to-month,94.65,3.16,6747.35,Fiber optic,0,0,1,Electronic check
0,0,1,1,44,One year,20.5,0.68,865.05,No,0,0,0,Bank transfer (automatic)
0,0,0,0,66,Month-to-month,89.4,2.98,5976.9,Fiber optic,0,0,0,Credit card (automatic)
1,0,0,0,2,Month-to-month,86.25,2.88,181.65,Fiber optic,1,1,0,Electronic check
0,1,0,0,44,One year,74.85,2.49,3268.05,DSL,0,1,1,Bank transfer (automatic)
1,0,0,0,12,Month-to-month,89.75,2.99,1052.4,Fiber optic,0,0,1,Bank transfer (automatic)
0,1,1,0,69,Two year,109.95,3.66,7634.25,Fiber optic,0,1,1,Electronic check
1,0,0,0,1,Month-to-month,80.2,2.67,80.2,Fiber optic,0,0,0,Mailed check
1,0,0,0,3,Month-to-month,19.85,0.66,63.75,No,0,0,0,Mailed check
0,0,1,0,2,Month-to-month,90.35,3.01,190.5,Fiber optic,1,0,1,Electronic check
0,1,0,0,27,Month-to-month,86.45,2.88,2401.05,Fiber optic,0,0,0,Bank transfer (automatic)
0,0,0,0,26,Month-to-month,20.3,0.68,511.25,No,0,0,0,Electronic check
0,1,1,0,39,Month-to-month,101.25,3.38,3949.15,Fiber optic,0,1,1,Electronic check
1,0,0,0,25,Month-to-month,94.7,3.16,2362.1,Fiber optic,0,0,1,Bank transfer (automatic)
1,0,0,0,1,Month-to-month,70.9,2.36,70.9,Fiber optic,0,0,0,Mailed check
0,0,0,0,29,One year,58.75,1.96,1696.2,DSL,1,1,0,Electronic check
1,0,1,0,22,Month-to-month,54.2,1.81,1152.7,DSL,1,1,0,Electronic check
0,1,0,0,5,Month-to-month,59.9,2.0,287.85,DSL,1,1,0,Credit card (automatic)
0,0,0,0,72,Two year,114.9,3.83,8496.7,Fiber optic,1,1,1,Electronic check
0,0,0,0,24,Two year,19.55,0.65,470.2,No,0,0,0,Bank transfer (automatic)
0,0,1,0,19,Month-to-month,86.85,2.9,1564.4,Fiber optic,0,0,1,Electronic check
0,0,1,1,71,Two year,25.35,0.85,1847.55,No,0,0,0,Credit card (automatic)
0,1,1,0,33,Month-to-month,109.9,3.66,3694.7,Fiber optic,1,1,1,Bank transfer (automatic)
